id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,Brasil,18,F,Machu Picchu,La Libertad,2025-06-24,4,3998.88,Desconocido
V0002,Argentina,69,M,Machu Picchu,Ica,2025-04-23,3,3777.25,Desconocido
V0003,Argentina,37,F,Cañón del Colca,Arequipa,2025-06-09,5,856.93,Desconocido
V0004,Ecuador,57,M,Cañón del Colca,Puno,2025-06-14,5,4808.62,Desconocido
V0005,Perú,19,M,Líneas de Nazca,Ica,2025-07-13,7,4497.06,Desconocido
V0006,Perú,58,F,Lago Titicaca,Puno,2025-03-31,9,3494.71,Bus
V0007,Chile,59,F,Huacachina,Cusco,2024-12-02,3,2917.5,Avión
V0008,México,55,F,Huacachina,Ica,2025-05-30,6,3469.93,Tren
V0009,Colombia,67,M,Chan Chan,Ica,2025-09-13,1,4455.91,Desconocido
V0010,Perú,44,F,Machu Picchu,Arequipa,2025-02-05,1,2363.5,Desconocido
V0011,Colombia,22,F,Lago Titicaca,Puno,2025-08-16,8,940.06,Desconocido
V0012,Chile,29,M,Chan Chan,Cusco,2025-05-16,9,3445.39,Avión
V0013,EE.UU.,57,M,Líneas de Nazca,Arequipa,2025-05-03,6,4433.68,Tren
V0014,Perú,46,F,Chan Chan,Ica,2025-02-14,7,2434.88,Avión
V0015,Chile,20,F,Lago Titicaca,Puno,2024-11-22,9,2259.4,Tren
V0016,Colombia,60,F,Huacachina,Cusco,2025-01-28,8,4886.19,Bus
V0017,Colombia,40,M,Huacachina,Arequipa,2025-08-06,10,4557.85,Tren
V0018,Perú,38,M,Lago Titicaca,La Libertad,2025-02-24,3,4731.03,Tren
V0019,Ecuador,18,M,Cañón del Colca,Arequipa,2025-04-06,7,1453.95,Desconocido
V0020,Argentina,51,M,Chan Chan,La Libertad,2025-06-23,6,4781.48,Bus
V0021,Chile,47,M,Machu Picchu,La Libertad,2025-10-14,10,1264.81,Desconocido
V0022,Brasil,55,F,Líneas de Nazca,La Libertad,2024-12-07,2,4466.91,Desconocido
V0023,Ecuador,18,F,Lago Titicaca,La Libertad,2024-12-07,7,1283.39,Tren
V0024,Perú,70,M,Machu Picchu,Ica,2025-03-01,5,1797.6,Desconocido
V0025,Argentina,58,M,Lago Titicaca,Ica,2024-12-17,8,3732.28,Desconocido
V0026,EE.UU.,44,F,Chan Chan,Arequipa,2025-07-20,5,798.35,Desconocido
